poll_date,fieldwork_start,fieldwork_end,pollster,pollster_lean,sample_size,response_rate_pct,election,candidate,party,support_pct,notes
2026-05-28,2026-05-24,2026-05-27,KBS-한국리서치,centerleft,500,26.5,2026_buksu_gap_byelection,하정우,더불어민주당,,NESDC 17009 | 무선전화면접 | https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19240&menuNo=200467
2026-05-28,2026-05-24,2026-05-27,KBS-한국리서치,centerleft,500,26.5,2026_buksu_gap_byelection,한동훈,무소속,,NESDC 17009 | 무선전화면접 | https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19240&menuNo=200467
2026-05-28,2026-05-24,2026-05-27,KBS-한국리서치,centerleft,500,26.5,2026_buksu_gap_byelection,박민식,국민의힘,,NESDC 17009 | 무선전화면접 | https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19240&menuNo=200467
2026-05-29,2026-05-26,2026-05-27,(주)여론조사꽃-여론조사꽃,left,502,9.5,2026_buksu_gap_byelection,하정우,더불어민주당,,NESDC 17038 | 무선 ARS | https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19273&menuNo=200467
2026-05-29,2026-05-26,2026-05-27,(주)여론조사꽃-여론조사꽃,left,502,9.5,2026_buksu_gap_byelection,한동훈,무소속,,NESDC 17038 | 무선 ARS | https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19273&menuNo=200467
2026-05-29,2026-05-26,2026-05-27,(주)여론조사꽃-여론조사꽃,left,502,9.5,2026_buksu_gap_byelection,박민식,국민의힘,,NESDC 17038 | 무선 ARS | https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19273&menuNo=200467
2026-05-29,2026-05-26,2026-05-27,중앙일보-케이스탯리서치,center,500,19.5,2026_buksu_gap_byelection,하정우,더불어민주당,,NESDC 17033 | 무선전화면접 | https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19198&menuNo=200467
2026-05-29,2026-05-26,2026-05-27,중앙일보-케이스탯리서치,center,500,19.5,2026_buksu_gap_byelection,한동훈,무소속,,NESDC 17033 | 무선전화면접 | https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19198&menuNo=200467
2026-05-29,2026-05-26,2026-05-27,중앙일보-케이스탯리서치,center,500,19.5,2026_buksu_gap_byelection,박민식,국민의힘,,NESDC 17033 | 무선전화면접 | https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19198&menuNo=200467
2026-05-28,2026-05-24,2026-05-27,KBS-한국리서치,centerleft,500,26.5,2026_buksu_gap_byelection,하정우,더불어민주당,,NESDC 17009 | 무선전화면접 | https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19240&menuNo=200467
2026-05-28,2026-05-24,2026-05-27,KBS-한국리서치,centerleft,500,26.5,2026_buksu_gap_byelection,한동훈,무소속,,NESDC 17009 | 무선전화면접 | https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19240&menuNo=200467
2026-05-28,2026-05-24,2026-05-27,KBS-한국리서치,centerleft,500,26.5,2026_buksu_gap_byelection,박민식,국민의힘,,NESDC 17009 | 무선전화면접 | https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19240&menuNo=200467
